match_id,batting_team,innings_total_runs,wickets_lost,winner,,,,
335982,Kolkata Knight Riders,222,3,KOLKATA KNIGHT RIDERS,,,,
335982,Royal Challengers Bangalore,82,9,KOLKATA KNIGHT RIDERS,,,,
335983,Chennai Super Kings,240,5,CHENNAI SUPER KINGS,,,,
335983,Kings XI Punjab,207,4,CHENNAI SUPER KINGS,,,,
335984,Delhi Daredevils,132,1,DELHI DAREDEVILS,,,,
335984,Rajasthan Royals,129,6,DELHI DAREDEVILS,,,,
335985,Mumbai Indians,165,5,ROYAL CHALLENGERS BANGALORE,,,,
335985,Royal Challengers Bangalore,166,5,ROYAL CHALLENGERS BANGALORE,,,,
335986,Deccan Chargers,110,9,KOLKATA KNIGHT RIDERS,,,,
335986,Kolkata Knight Riders,112,5,KOLKATA KNIGHT RIDERS,,,,
335987,Kings XI Punjab,166,7,RAJASTHAN ROYALS,,,,
335987,Rajasthan Royals,168,4,RAJASTHAN ROYALS,,,,
335988,Deccan Chargers,142,7,DELHI DAREDEVILS,,,,
335988,Delhi Daredevils,143,1,DELHI DAREDEVILS,,,,
335989,Chennai Super Kings,208,4,CHENNAI SUPER KINGS,,,,
335989,Mumbai Indians,202,6,CHENNAI SUPER KINGS,,,,
335990,Deccan Chargers,214,5,RAJASTHAN ROYALS,,,,
335990,Rajasthan Royals,217,6,RAJASTHAN ROYALS,,,,
335991,Kings XI Punjab,182,8,KINGS XI PUNJAB,,,,
335991,Mumbai Indians,116,8,KINGS XI PUNJAB,,,,
335992,Rajasthan Royals,138,3,RAJASTHAN ROYALS,,,,
335992,Royal Challengers Bangalore,135,6,RAJASTHAN ROYALS,,,,
335993,Chennai Super Kings,152,1,CHENNAI SUPER KINGS,,,,
335993,Kolkata Knight Riders,147,8,CHENNAI SUPER KINGS,,,,
335994,Deccan Chargers,155,0,DECCAN CHARGERS,,,,
335994,Mumbai Indians,154,7,DECCAN CHARGERS,,,,
335995,Delhi Daredevils,158,7,KINGS XI PUNJAB,,,,
335995,Kings XI Punjab,162,5,KINGS XI PUNJAB,,,,
335996,Chennai Super Kings,178,4,CHENNAI SUPER KINGS,,,,
335996,Royal Challengers Bangalore,165,8,CHENNAI SUPER KINGS,,,,
335997,Kolkata Knight Riders,137,7,MUMBAI INDIANS,,,,
335997,Mumbai Indians,138,3,MUMBAI INDIANS,,,,
335998,Delhi Daredevils,191,4,DELHI DAREDEVILS,,,,
335998,Royal Challengers Bangalore,181,5,DELHI DAREDEVILS,,,,
335999,Deccan Chargers,164,7,KINGS XI PUNJAB,,,,
335999,Kings XI Punjab,167,2,KINGS XI PUNJAB,,,,
336000,Kolkata Knight Riders,151,7,RAJASTHAN ROYALS,,,,
336000,Rajasthan Royals,196,6,RAJASTHAN ROYALS,,,,
336001,Chennai Super Kings,169,5,DELHI DAREDEVILS,,,,
336001,Delhi Daredevils,172,2,DELHI DAREDEVILS,,,,
336002,Deccan Chargers,165,8,ROYAL CHALLENGERS BANGALORE,,,,
336002,Royal Challengers Bangalore,171,3,ROYAL CHALLENGERS BANGALORE,,,,
336003,Kings XI Punjab,178,5,KINGS XI PUNJAB,,,,
336003,Kolkata Knight Riders,169,6,KINGS XI PUNJAB,,,,
336004,Delhi Daredevils,133,9,MUMBAI INDIANS,,,,
336004,Mumbai Indians,162,8,MUMBAI INDIANS,,,,
336005,Chennai Super Kings,109,10,RAJASTHAN ROYALS,,,,
336005,Rajasthan Royals,110,2,RAJASTHAN ROYALS,,,,
336006,Kings XI Punjab,127,4,KINGS XI PUNJAB,,,,
336006,Royal Challengers Bangalore,126,7,KINGS XI PUNJAB,,,,
336007,Chennai Super Kings,144,7,DECCAN CHARGERS,,,,
336007,Deccan Chargers,148,3,DECCAN CHARGERS,,,,
