match_id,team1,team1_score,team1_wickets,winner,winner_encoded
335982,Kolkata Knight Riders,222,3,KOLKATA KNIGHT RIDERS,8
335983,Chennai Super Kings,240,5,CHENNAI SUPER KINGS,0
335984,Delhi Daredevils,132,1,DELHI DAREDEVILS,3
335985,Mumbai Indians,165,5,ROYAL CHALLENGERS BANGALORE,16
335986,Deccan Chargers,110,9,KOLKATA KNIGHT RIDERS,8
335987,Kings XI Punjab,166,7,RAJASTHAN ROYALS,13
335988,Deccan Chargers,142,7,DELHI DAREDEVILS,3
335989,Chennai Super Kings,208,4,CHENNAI SUPER KINGS,0
335990,Deccan Chargers,214,5,RAJASTHAN ROYALS,13
335991,Kings XI Punjab,182,8,KINGS XI PUNJAB,6
335992,Rajasthan Royals,138,3,RAJASTHAN ROYALS,13
335993,Chennai Super Kings,152,1,CHENNAI SUPER KINGS,0
335994,Deccan Chargers,155,0,DECCAN CHARGERS,1
335995,Delhi Daredevils,158,7,KINGS XI PUNJAB,6
335996,Chennai Super Kings,178,4,CHENNAI SUPER KINGS,0
335997,Kolkata Knight Riders,137,7,MUMBAI INDIANS,10
335998,Delhi Daredevils,191,4,DELHI DAREDEVILS,3
335999,Deccan Chargers,164,7,KINGS XI PUNJAB,6
336000,Kolkata Knight Riders,151,7,RAJASTHAN ROYALS,13
336001,Chennai Super Kings,169,5,DELHI DAREDEVILS,3
336002,Deccan Chargers,165,8,ROYAL CHALLENGERS BANGALORE,16
336003,Kings XI Punjab,178,5,KINGS XI PUNJAB,6
336004,Delhi Daredevils,133,9,MUMBAI INDIANS,10
336005,Chennai Super Kings,109,10,RAJASTHAN ROYALS,13
336006,Kings XI Punjab,127,4,KINGS XI PUNJAB,6
336007,Chennai Super Kings,144,7,DECCAN CHARGERS,1
336008,Mumbai Indians,104,3,MUMBAI INDIANS,10
336009,Chennai Super Kings,188,5,CHENNAI SUPER KINGS,0
336010,Kolkata Knight Riders,129,5,KOLKATA KNIGHT RIDERS,8
336011,Deccan Chargers,140,6,RAJASTHAN ROYALS,13
336012,Mumbai Indians,126,1,MUMBAI INDIANS,10
336013,Chennai Super Kings,181,4,CHENNAI SUPER KINGS,0
336014,Deccan Chargers,181,7,KOLKATA KNIGHT RIDERS,8
336015,Delhi Daredevils,156,6,RAJASTHAN ROYALS,13
336016,Kings XI Punjab,144,1,KINGS XI PUNJAB,6
336017,Delhi Daredevils,110,8,KOLKATA KNIGHT RIDERS,8
336018,Chennai Super Kings,156,6,MUMBAI INDIANS,10
336019,Kings XI Punjab,221,2,KINGS XI PUNJAB,6
336020,Deccan Chargers,182,9,DELHI DAREDEVILS,3
336021,Kolkata Knight Riders,67,9,MUMBAI INDIANS,10
336022,Delhi Daredevils,118,4,KINGS XI PUNJAB,6
336023,Rajasthan Royals,197,1,RAJASTHAN ROYALS,13
336024,Deccan Chargers,153,6,MUMBAI INDIANS,10
336025,Chennai Super Kings,55,0,CHENNAI SUPER KINGS,0
336026,Delhi Daredevils,158,4,DELHI DAREDEVILS,3
336027,Kolkata Knight Riders,147,7,RAJASTHAN ROYALS,13
336028,Kings XI Punjab,189,4,KINGS XI PUNJAB,6
336029,Chennai Super Kings,112,7,ROYAL CHALLENGERS BANGALORE,16
336031,Deccan Chargers,175,4,KINGS XI PUNJAB,6
336032,Delhi Daredevils,179,4,DELHI DAREDEVILS,3
336033,Chennai Super Kings,201,6,RAJASTHAN ROYALS,13
336034,Deccan Chargers,153,6,ROYAL CHALLENGERS BANGALORE,16
336035,Kings XI Punjab,174,5,KOLKATA KNIGHT RIDERS,8
336036,Mumbai Indians,145,7,RAJASTHAN ROYALS,13
336037,Chennai Super Kings,148,3,CHENNAI SUPER KINGS,0
336038,Delhi Daredevils,87,9,RAJASTHAN ROYALS,13
336039,Chennai Super Kings,116,1,CHENNAI SUPER KINGS,0
